From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Term Node Num (From),Term Node Name (From),Term Node Num (To),Term Node Name (To),In Service,Metered,Winding 1 Side,Controlled Bus,Controlled Bus Side,Controlled Node Number,Controlled Bus Section,Tap Positions,Control Mode,Auto Adjust,Winding I/O Code,Impedance I/O Code,Admittance I/O Code,Specified R (pu or watts),Specified X (pu),RATE1 (MVA),RATE2 (MVA),RATE3 (MVA),Magnetizing G (pu or watts),Magnetizing B (pu),Owner 1,Fraction 1,Owner 2,Fraction 2,Owner 3,Fraction 3,Owner 4,Fraction 4,Winding  MVA Base,Wnd 1 Ratio  (pu or kV),Wnd 1 Nominal kV,Wnd 1 Angle (degrees),Wnd 2 Ratio  (pu or kV),Wnd 2 Nominal kV,"Rmax (pu, kV, deg)","Rmin (pu, kV, deg)","Vmax (pu, Mvar, MW)","Vmin (pu, Mvar, MW)",Wnd Connect Angle (deg),Load Drop Comp R (pu),Load Drop Comp X (pu),Impedance table,R (table corrected pu or watts),X (table corrected pu),Vector Group,Edit Vector Group,Connection Code,Edit Connection Code,Leakage impedance I/O code,Grounding impedance I/O code,RG1,XG1,R01 (pu),X01 (pu),RG2,XG2,R02 (pu),X02 (pu),RNutrl,XNutrl,RATE4 (MVA),RATE5 (MVA),RATE6 (MVA),RATE7 (MVA),RATE8 (MVA),RATE9 (MVA),RATE10 (MVA),RATE11 (MVA),RATE12 (MVA),Zbase,R (ohm),X (ohm)
10611,BEAU1J      132.00,10613,BEAU1P      132.00,1,,,,,,1,1,1,10611,1,0,10611,19,MW symmetrical PAR,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00177,0.036,150,150,150,0,0,1,1,0,1,0,1,0,1,100,1,0,-3,1,0,15,-15,-65,-70,0,0,0,0,0.00177,0.036,,,"1 - Series path, no ground path",,Z pu (system base),Z pu (system base),0,0,0.00177,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.3084048,6.27264
10611,BEAU1J      132.00,10630,BEAU3-      33.000,2,,,,,,1,1,1,10630,0,0,10630,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0104,0.2773,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1.0167,0,30,1,0,1.1,0.8,1.01,0.95,0,0,0,0,0.0104,0.2773,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),10.23,0,0.0104,0.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.812096,48.316752
10612,BEAU1K      132.00,10614,BEAU1Q      132.00,2,,,,,,1,1,1,10612,1,0,10612,19,MW symmetrical PAR,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00177,0.036,150,150,150,0,0,1,1,0,1,0,1,0,1,100,1,0,-3,1,0,15,-15,-65,-70,0,0,0,0,0.00177,0.036,,,"1 - Series path, no ground path",,Z pu (system base),Z pu (system base),0,0,0.00177,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.3084048,6.27264
10612,BEAU1K      132.00,10630,BEAU3-      33.000,1,,,,,,1,1,1,10630,0,0,10630,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0104,0.2773,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1.0167,0,30,1,0,1.1,0.8,1.01,0.95,0,0,0,0,0.0104,0.2773,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),10.29,0,0.0104,0.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.812096,48.316752
10725,CAIN2-      275.00,10738,CAIN3J      33.000,1,,,,,,1,1,1,10738,0,0,10738,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0036,0.18,120,120,120,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.0036,0.18,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00338,0.1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.25,2.556125,127.9575
10739,CLAS3K      33.000,10781,CLAS81      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.005,0.1,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.005,0.1,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0047,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.051183,1.02366
10811,BOAG1Q      132.00,10830,BOAG3-      33.000,1,,,,,,1,1,1,10830,0,0,10830,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00611,0.24993,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00611,0.24993,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00586,0.23986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.0210464,41.7932064
10812,BOAG1R      132.00,10830,BOAG3-      33.000,2,,,,,,1,1,1,10830,0,0,10830,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00605,0.24826,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00605,0.24826,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.00581,0.23826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.0123344,41.5144224
10921,BRCW2J      275.00,10930,BRCW3-      33.000,1,,,,,,1,1,1,10930,0,0,10930,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0042,0.2,120,120,120,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.0042,0.2,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0042,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.25,3.17625,151.25
10922,BRCW2K      275.00,10930,BRCW3-      33.000,2,,,,,,1,1,1,10930,0,0,10930,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0042,0.2,120,120,120,0,0,1,1,0,1,0,1,0,1,100,0.9833,0,30,1,0,1.15,0.85,1.03,0.98,0,0,0,0,0.0042,0.2,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0042,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.25,3.17625,151.25
10931,BRCB3A      33.000,10951,BRCB5A      11.000,1,,,,,,1,1,1,0,0,0,,19,Voltage,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01,0.2,30,30,30,0,0,1,1,0,1,0,1,0,1,30,1,33,0,1,11,1.1,0.8,1.03,0.97,0,0,0,0,0.01,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0094,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0.34122,6.8244
10931,BRCB3A      33.000,10952,BRCB5B      11.000,1,,,,,,1,1,1,0,0,0,,19,Voltage,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.01,0.2,30,30,30,0,0,1,1,0,1,0,1,0,1,30,1,33,0,1,11,1.1,0.8,1.03,0.97,0,0,0,0,0.01,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.0094,0.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0.34122,6.8244
10938,BRDU3J      33.000,10988,BRDU8J      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,40,40,40,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.025,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
10939,BRDU3K      33.000,10989,BRDU8K      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,40,40,40,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.025,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
10951,BRCB5A      11.000,10981,BRCB81      0.4000,1,,,,,,1,1,1,0,0,0,,19,Voltage,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0234,0.4688,25.6,25.6,25.6,0,0,1,1,0,1,0,1,0,1,25.6,1,11,0,1,0.4,1.1,0.8,1.03,0.97,0,0,0,0,0.0234,0.4688,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.022,0.4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7265625,0.103984375,2.082996094
10952,BRCB5B      11.000,10982,BRCB82      0.4000,1,,,,,,1,1,1,0,0,0,,19,Voltage,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0223,0.4461,26.9,26.9,26.9,0,0,1,1,0,1,0,1,0,1,26.9,1,11,0,1,0.4,1.1,0.8,1.03,0.97,0,0,0,0,0.0223,0.4461,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.021,0.4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.498141264,0.094460967,1.886070632
11111,BRID1Q      132.00,11130,BRID3-      33.000,1,,,,,,1,1,1,11130,0,0,11130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00633,0.2876,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00633,0.2876,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.9,0,0.0058,0.2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.010592,46.713744
11112,BRID1R      132.00,11130,BRID3-      33.000,2,,,,,,1,1,1,11130,0,0,11130,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00637,0.28943,60,60,60,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00637,0.28943,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7.17,0,0.00594,0.26981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.0349856,47.0116944
11139,TULW39      33.000,11189,TULW8W      0.7000,1,,,,,,1,1,1,0,0,0,,18,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.04,0.4,20,20,20,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.04,0.4,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.4356,4.356
11211,BROA1Q      132.00,11230,BROA3-      33.000,1,,,,,,1,1,1,11230,0,0,11230,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.0119,0.39,30,30,30,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.0119,0.39,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),9.99,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0,67.9536
11310,BROR1-      132.00,11330,BROR3-      33.000,2,,,,,,1,1,1,11330,0,0,11330,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00763,0.25144,45,45,45,0,0,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00763,0.25144,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00734,0.24189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,1.2789216,42.1469136
11411,BUMU1Q      132.00,11430,BUMU3-      33.000,1,,,,,,1,1,1,11430,0,0,11430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00366,0.2537,90,90,90,0.00024,-0.00034,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00366,0.2537,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0034,0.2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.592416,40.702464
11412,BUMU1R      132.00,11430,BUMU3-      33.000,2,,,,,,1,1,1,11430,0,0,11430,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.00376,0.2542,90,90,90,0.00024,-0.00035,1,1,0,1,0,1,0,1,100,1,0,30,1,0,1.1,0.8,1.03,0.98,0,0,0,0,0.00376,0.2542,,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),7,0,0.0035,0.2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.24,0.60984,40.754736
11511,CAAD1Q      132.00,11530,CAAD3-      33.000,1,GT1_11,,,,,1,1,1,11530,0,0,11530,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.003042,0.247991,120,120,120,0.00024,-0.00008,1,1,0,1,0,1,0,1,120,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.00304,0.24799,YNd1,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00821,0.22245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,1.192092,32.29974
11511,CAAD1Q      132.00,11531,CAAD3J      33.000,1,,,,,,1,1,1,11531,0,0,11531,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002621,0.246736,120,120,120,0.00017,-0.00022,1,1,0,1,0,1,0,1,120,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.00262,0.24674,YNd11,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00233,0.21925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,0.338316,31.8351
11512,CAAD1R      132.00,11530,CAAD3-      33.000,2,GT2_11,,,,,1,1,1,11530,0,0,11530,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.003042,0.247991,120,120,120,0.00024,-0.00008,1,1,0,1,0,1,0,1,120,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.00304,0.24799,YNd1,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00821,0.22245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,1.192092,32.29974
11512,CAAD1R      132.00,11531,CAAD3J      33.000,2,,,,,,1,1,1,11531,0,0,11531,19,Voltage,1,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.002621,0.246736,120,120,120,0.00017,-0.00022,1,1,0,1,0,1,0,1,120,1,132,30,1,33,1.1,0.8,1.03,0.98,0,0,0,0,0.00262,0.24674,YNd11,,"6 - No series path, ground winding 1, earth winding 2",,Z pu (system base),Z pu (system base),6.99,0,0.00233,0.21925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.2,0.338316,31.8351
11534,BTUI3-      33.000,11584,BTUI8W      0.7000,1,,,,,,1,1,1,0,0,0,,19,None,0,Turns ratio (pu on bus base kV),Zpu (system base),Y pu (system base),0.02,0.2,36,36,36,0,0,1,1,0,1,0,1,0,1,100,1,0,0,1,0,1.1458,0.8459,1.01,0.98,0,0,0,0,0.02,0.2,,,4 - No series or ground paths,,Z pu (system base),Z pu (system base),0,0,0.02,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.89,0.2178,2.178
